Set_ID,Name,Year,Theme,Theme_Group,Subtheme,Category,Packaging,Num_Instructions,Availability,Pieces,Minifigures,Owned,Rating,USD_MSRP,Total_Quantity,Current_Price
75-1,PreSchool Set,1975,PreSchool,Pre-school,,Normal,{Not specified},0,{Not specified},16.0,,10.0,0.0,,,
77-1,PreSchool Set,1975,PreSchool,Pre-school,,Normal,{Not specified},0,{Not specified},20.0,,11.0,0.0,,,
077-1,Pre-School Set,1975,Duplo,Pre-school,,Normal,{Not specified},0,{Not specified},21.0,,10.0,0.0,,0.0,
78-1,PreSchool Set,1975,PreSchool,Pre-school,,Normal,{Not specified},0,{Not specified},32.0,,8.0,0.0,,,
78-3,Basic Set,1975,Samsonite,Vintage,Basic set,Normal,Box,0,{Not specified},330.0,,10.0,0.0,,0.0,
133-1,Locomotive,1975,Trains,Modern day,4.5/12V,Normal,{Not specified},0,{Not specified},87.0,,279.0,0.0,,0.0,
134-1,Mobile Crane and Wagon,1975,Trains,Modern day,4.5/12V,Normal,Box,0,Retail,86.0,,252.0,0.0,,0.0,
136-1,Tanker Wagon,1975,Trains,Modern day,4.5/12V,Normal,Box,0,Retail,83.0,,404.0,0.0,,0.0,
137-2,Passenger Sleeping Car,1975,Trains,Modern day,4.5/12V,Normal,{Not specified},0,{Not specified},82.0,,299.0,0.0,,0.0,
148-1,Station,1975,Trains,Modern day,4.5/12V,Normal,{Not specified},0,{Not specified},293.0,5.0,479.0,0.0,,0.0,
182-1,Train Set with Motor,1975,Trains,Modern day,4.5/12V,Normal,{Not specified},0,{Not specified},369.0,,409.0,0.0,,0.0,
190-1,Farm Set,1975,Building Set with People,Vintage,,Normal,{Not specified},0,{Not specified},526.0,,223.0,0.0,,0.0,
195-1,Airplane,1975,Building Set with People,Vintage,,Normal,{Not specified},0,{Not specified},89.0,,145.0,0.0,,0.0,
222-1,Building Ideas Book,1975,Books,Miscellaneous,LEGO,Book,{Not specified},0,{Not specified},1.0,,695.0,0.0,,,
253-2,Helicopter and Pilot,1975,Building Set with People,Vintage,,Normal,Box,0,Retail,49.0,,204.0,0.0,,0.0,
254-1,Family,1975,Building Set with People,Vintage,,Normal,Box,0,Retail,103.0,,264.0,0.0,,0.0,
255-2,Farming Scene,1975,Building Set with People,Vintage,,Normal,Box,0,Retail,120.0,,134.0,0.0,,0.0,
362-1,Windmill,1975,LEGOLAND,Vintage,,Normal,{Not specified},0,{Not specified},215.0,2.0,280.0,0.0,,0.0,
363-1,Hospital,1975,LEGOLAND,Vintage,,Normal,Box,0,Retail,229.0,7.0,641.0,4.2,,0.0,
364-1,Harbour,1975,LEGOLAND,Vintage,,Normal,Box,0,Retail,518.0,7.0,188.0,0.0,,0.0,
365-1,Wild West,1975,LEGOLAND,Vintage,,Normal,Box,0,Retail,602.0,8.0,255.0,0.0,,0.0,
367-1,Space Module with Astronauts,1975,LEGOLAND,Vintage,,Normal,Box,0,Retail,364.0,,597.0,3.7,,0.0,
390-2,1913 Cadillac,1975,Hobby Set,Vintage,,Normal,Box,0,Retail,200.0,,762.0,3.9,,0.0,
391-1,1926 Renault,1975,Hobby Set,Vintage,,Normal,Box,0,Retail,237.0,,609.0,4.3,,0.0,
392-1,Formula 1,1975,Hobby Set,Vintage,,Normal,Box,0,Retail,197.0,,443.0,0.0,,0.0,
430-1,Biplane,1975,LEGOLAND,Vintage,,Normal,{Not specified},0,{Not specified},18.0,,454.0,4.0,,0.0,
480-1,Rescue Helicopter,1975,LEGOLAND,Vintage,,Normal,{Not specified},0,{Not specified},62.0,,410.0,0.0,,0.0,
490-1,Mobile Crane,1975,LEGOLAND,Vintage,,Normal,{Not specified},0,{Not specified},46.0,,383.0,0.0,,0.0,
516-1,Bricks and half bricks,1975,Duplo,Pre-school,,Normal,Box,0,Promotional,20.0,,17.0,0.0,,0.0,
517-1,Bricks and half bricks and arches,1975,Duplo,Pre-school,,Normal,Box,0,Retail,121.0,,29.0,0.0,,0.0,
518-8,Bricks and half bricks and trolley,1975,Duplo,Pre-school,,Normal,Box,0,Retail,17.0,,24.0,0.0,,0.0,
519-8,Bricks and half bricks and arches and trolley,1975,Duplo,Pre-school,,Normal,Box,0,Retail,240.0,,21.0,0.0,,0.0,
520-9,Bricks and half bricks and two tolleys,1975,Duplo,Pre-school,,Normal,Box,0,Retail,168.0,,24.0,0.0,,0.0,
521-8,Bricks and half bricks all colours,1975,Duplo,Pre-school,,Normal,Box,0,Retail,640.0,,29.0,0.0,,0.0,
580-1,Brick Yard,1975,LEGOLAND,Vintage,,Normal,{Not specified},0,{Not specified},216.0,,368.0,0.0,,0.0,
615-2,Forklift,1975,LEGOLAND,Vintage,Vehicle,Normal,{Not specified},0,{Not specified},21.0,1.0,1019.0,0.0,,0.0,
659-1,Police Patrol,1975,LEGOLAND,Vintage,,Normal,{Not specified},0,{Not specified},49.0,2.0,953.0,3.7,,1.0,55.0000
660-1,Air Transporter,1975,LEGOLAND,Vintage,,Normal,{Not specified},0,{Not specified},39.0,,706.0,0.0,,0.0,
692-1,Road Repair Crew,1975,LEGOLAND,Vintage,,Normal,Box,0,Retail,57.0,2.0,486.0,0.0,,0.0,
693-1,Fire engine with firemen,1975,LEGOLAND,Vintage,,Normal,Box,0,Retail,62.0,3.0,533.0,0.0,,0.0,
694-1,Transport Truck,1975,LEGOLAND,Vintage,Vehicle,Normal,Box,0,Retail,65.0,,475.0,0.0,,0.0,
760-2,London Bus,1975,LEGOLAND,Vintage,,Normal,{Not specified},0,{Not specified},110.0,,404.0,0.0,,0.0,
814-2,Tractor,1975,Building Set with People,Vintage,,Normal,Box,0,Retail,93.0,,138.0,0.0,,0.0,
BB173-1,Holdall Storage Bag,1975,Gear,Miscellaneous,Storage,Gear,Box,0,Retail,,,11.0,0.0,,,
SUPSET1-1,Super Set,1975,Universal Building Set,Basic,,Other,Other,0,Retail,,,15.0,0.0,,,
10-2,"Basic Building Set, 3+",1976,Basic,Basic,,Normal,{Not specified},0,{Not specified},152.0,,135.0,0.0,,0.0,
20-1,"Basic Building Set, 3+",1976,Basic,Basic,,Normal,{Not specified},0,{Not specified},217.0,,183.0,0.0,,0.0,
30-1,"Basic Building Set, 3+",1976,Basic,Basic,,Normal,{Not specified},0,{Not specified},258.0,,237.0,0.0,,0.0,
40-1,"Basic Building Set, 3+",1976,Basic,Basic,,Normal,{Not specified},0,{Not specified},258.0,,182.0,0.0,,0.0,
50-1,"Basic Building Set, 3+",1976,Basic,Basic,,Normal,{Not specified},0,{Not specified},382.0,,188.0,0.0,,0.0,
55-1,Basic Set,1976,Samsonite,Vintage,Basic set,Normal,{Not specified},0,{Not specified},291.0,,15.0,0.0,,0.0,
74-1,PreSchool Set,1976,PreSchool,Pre-school,,Normal,{Not specified},0,{Not specified},20.0,,10.0,0.0,,,
080-3,Police Station,1976,PreSchool,Pre-school,,Normal,{Not specified},0,{Not specified},28.0,4.0,31.0,0.0,,0.0,
081-1,Train Station,1976,PreSchool,Pre-school,,Normal,{Not specified},0,{Not specified},53.0,5.0,14.0,0.0,,0.0,
082-1,LEGOVille,1976,PreSchool,Pre-school,,Normal,{Not specified},0,{Not specified},66.0,7.0,15.0,0.0,,0.0,
107-1,Universal Motor,1976,Basic,Basic,Supplementaries,Normal,{Not specified},0,{Not specified},137.0,,1057.0,3.5,,0.0,
108-1,Battery box,1976,Basic,Basic,,Normal,{Not specified},0,{Not specified},1.0,,228.0,0.0,,0.0,
146-1,Level Crossing,1976,Trains,Modern day,4.5/12V,Normal,{Not specified},0,{Not specified},68.0,1.0,728.0,0.0,,0.0,
147-1,Refrigerated Wagon,1976,Trains,Modern day,4.5/12V,Normal,{Not specified},0,{Not specified},115.0,2.0,353.0,0.0,,0.0,
149-1,Fuel Refinery,1976,Trains,Modern day,4.5/12V,Normal,{Not specified},0,{Not specified},328.0,3.0,291.0,0.0,,0.0,
156-2,Straight Track,1976,Trains,Modern day,4.5/12V,Normal,{Not specified},0,{Not specified},25.0,,501.0,0.0,,0.0,
157-1,Curved Track,1976,Trains,Modern day,4.5/12V,Normal,{Not specified},0,{Not specified},25.0,,498.0,0.0,,0.0,
159-1,Straight Track with Crossing,1976,Trains,Modern day,4.5/12V,Normal,Box,0,Retail,25.0,,350.0,0.0,,0.0,
